Date Announced (dateann),Unique DEAL ID (master_deal_no),Target Name (tmanames),Acquiror Name (amanames),Acquiror is a Financial Sponsor (Yes/No Flag) (afinancial),Acquiror is a Leverage Buyout Firm (albofirm),Acquiror is a Limited Partnership Flag (alp),Deal Attitude (attitude),Deals is a Divestiture Flag (divest),Division (division),Form of transaction (form),Percentage of consideration paid in cash (pct_cash),Percentage of consideration paid in other then cash or stock (p,Percentage of consideration paid in stock (pct_stk),Percentage of consideration which is unknown (pct_unknown),Percentage of Shares Sought (psought),Percentage of Shares Acquiror is Seeking to Own After Transacti,Related Deals Flag (rd),Deal is a Repurchase Flag (repurch),Source of Funds Borrowing Flag (sfbor),Source of Funds Common Stock Issue Flag (sfcom),Financing via Internal Corporate Funds Flag (sfcorp),Financing via Debt Securities Flag (sfdebt),Financing via Line of Credit Flag (sflc),Deal Status (status),Ranking Value incl Net Debt of Target (USD Mil) (rankval),TR Acquiror Industry Description (atf_mid_desc),TR Target Industry Description (ttf_mid_desc),TR Acquiror Macro Description (atf_macro_desc),TR Target Macro Description (ttf_macro_desc),Acquiror Nation (anation),Acquiror Nation Code (anationcode),Target Nation (tnation),Target Nation Code (tnationcode),Target Public Status (tpublic),Acquiror Public Status (apublic),deal_value,Enterprise Value ($mil) (entval),Equity Value ($mil) (eqval),Price Per Share (pr),Target Sales LTM ($mil) (salesltm),Target EBIT LTM ($mil) (ebitltm),Target Pre-Tax Income LTM ($mil) (ptincltm),Target Net Income LTM ($mil) (niltm),Target Net Assets ($mil) (netass),Target Total Assets ($mil) (tass),Target Cash Flow LTM ($mil) (cashflow),Target Book Value ($mil) (bookvalue),Target Common Equity ($mil) (commonequity),Target Earnings Per Share ($mil) (epsltm),Target Closing Stock Price 1 day Prior to Deal Announcement Day,Target Closing Stock Price 1 week Prior to Deal Announcement Da,Target Closing Stock Price 4 weeks Prior to Deal Announcement D,Consideration Offered (considoff),Consideration Sought (considsought),Vix,Interest rates,GDP growth,Healthcare growth,Covid19 
21.11.2014,2698211040,Medicon Hellas SA,Maria Eleni Dimotsantou,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,4.8,4.8,Yes,No,No,No,No,No,No,0,0.119,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Greece,GR,Greece,GR,Public,Inv.,0.119,29.622,2.68,0.6,13.7,1.44,0.7,0.7,4.3,36.8,2.935,0.9,3.984,0.1223,0.601,0,0,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
21.11.2014,2698221040,Medicon Hellas SA,Georgios Dimotsantou,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,4.8,4.8,Yes,No,No,No,No,No,No,0,0.119,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Greece,GR,Greece,GR,Public,Inv.,0.119,29.622,2.68,0.6,13.7,1.44,0.7,0.7,4.3,36.8,2.935,0.9,3.984,0.1223,0.601,0,0,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
02.11.2015,2816769040,Pyng Medical Corp,MDR Specialty Distribution,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,100,0,9.7,9.7,No,No,No,No,No,No,No,0,0.138,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,Canada,CA,Public,Priv.,0.138,1.804,1.279,0.05,6.016,0.417,0,0,2.8,5.1,0.691,0.1,2.798,0.0002,0.038,0.038,0.038,Common Stock,Common Stock,16.9,0.25,3.1,5.5,0
05.09.2020,3641362040,Slaney Healthcare Pvt Ltd,Shalby Ltd,No,No,No,Friendly,Yes,No,Merger,100,100,0,0,100,100,Yes,No,No,No,No,No,No,0,0.4,Hospitals,Healthcare Equipment & Supplies,Healthcare,Healthcare,India,IN,India,IN,Sub.,Public,0.153,0.389,0.149,,1.615,0.037,0,0,0.2,0.7,0.038,17.2,0.172,2.203,,,,"Cash Only, Cash Only",Stock,26.9,0.25,-3.4,9.7,1
21.11.2014,2698227040,Medicon Hellas SA,Maria Pikramenou,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,6.4,6.4,Yes,No,No,No,No,No,No,0,0.16,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Greece,GR,Greece,GR,Public,Inv.,0.16,29.622,2.68,0.6,13.7,1.44,0.7,0.7,4.3,36.8,2.935,0.9,3.984,0.1223,0.601,0,0,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
04.11.2022,3998100040,Avita Corp,Avita Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,4.1,4.1,No,Yes,No,No,Yes,No,No,0,0.168,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Taiwan,TW,Taiwan,TW,Public,Public,0.168,28.4,37.575,1.01,40.299,3.201,4.4,3.4,29.4,44.9,5.378,0.8,29.435,0.0922,1.01,0.998,1.072,Cash Only,Ordinary Share,22.5,4.25,2.1,4.5,0
27.03.2024,4220270040,Ivilens OOD,iVision Tech France Sas,No,No,No,Friendly,No,No,Acq. Maj. Int.,0,100,0,0,60,60,No,No,No,No,No,No,No,0,0.303,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,France,FR,Bulgaria,BU,Priv.,Sub.,0.303,0.499,0.499,,0.952,0.113,0.1,0.1,0.4,1,,,0.407,,,,,Cash Only,Stock,15.5,4.5,2.8,7,0
21.05.2021,3868924040,Zive UAB,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,20,20,No,No,No,No,No,No,No,0,0.306,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Lithuania,LT,Lithuania,LT,Priv.,Priv.,0.306,1.527,1.527,,0.087,0.087,,,0.1,0.1,,,0.067,,,,,Cash Only,Stock,17.2,0.25,5.7,3.9,0
14.05.2024,4244576040,IMD Generators Srl,Imd Intl Med Devices Spa,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,12.4,78.8,No,No,No,No,No,No,No,0,0.351,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Italy,IT,Italy,IT,Sub.,Public,0.351,2.97,2.902,,15.693,1.076,1.1,0.8,5.5,11,1.171,,5.549,,,,,Cash Only,Stock,15.5,4.5,2.8,7,0
09.12.2021,3843950040,Bio Protech INC,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,12,12,No,No,No,No,No,No,No,1,0.425,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,0.425,19.789,2.72,0.64,12.871,-5.045,-8.9,-8.9,1.1,23.4,-4.092,-0.1,-0.321,-2.7564,,,,Cash Only,Convertible Bond,17.2,0.25,5.7,3.9,0
03.12.2021,3840328040,Bio Protech INC,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,12,12,No,No,No,No,No,No,No,1,0.425,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,0.425,18.403,2.259,0.64,12.871,-5.045,-8.9,-8.9,1.1,23.4,-4.092,-0.1,-0.321,-2.7564,,,,Cash Only,Convert. Preferred,17.2,0.25,5.7,3.9,0
29.03.2017,3086903040,Diva Laboratories Ltd,Diva Laboratories Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3,3,No,Yes,No,No,Yes,No,No,0,0.445,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Taiwan,TW,Taiwan,TW,Public,Public,0.445,57.475,60.72,1.32,30.972,1.524,-2.3,-2.7,29.7,44.7,3.019,0.6,29.698,-0.0603,1.319,1.376,1.231,"Cash Only, Cash Only",Ordinary Share,11,1.5,2.4,4.6,0
14.04.2014,2628709040,Servizi Italia Medical SpA,Servizi Italia SpA,No,No,No,Friendly,No,No,Acq. Rem. Int.,0,0,0,100,30,100,No,No,No,No,No,No,No,0,0.553,Professional Services,Healthcare Equipment & Supplies,Consumer Products and Services,Healthcare,Italy,IT,Italy,IT,Sub.,Public,0.553,3.914,1.833,,15.153,0.884,0.8,0.5,1.8,9.5,1.049,,1.751,,,,,"Cash Only, Cash Only",Stock,16.6,0.25,2.5,5.5,0
02.03.2014,2614053040,Calin Technology Co Ltd,Calin Technology Co Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3,3,No,Yes,No,No,Yes,No,No,0,0.631,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Taiwan,TW,Taiwan,TW,Public,Public,0.631,111.998,107.719,1.07,59.138,5.893,6.3,5.3,54.2,78.2,13.663,0.6,54.22,0.0535,1.074,1.084,0,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
03.08.2020,3619138040,Crystalvue Medical Corp,Crystalvue Medical Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,4.1,4.1,No,Yes,No,No,Yes,No,No,0,0.644,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Taiwan,TW,Taiwan,TW,Public,Public,0.644,20.831,37.844,1.56,17.167,2.449,2.4,2.1,22.4,29.5,3.11,0.9,22.358,0.0928,1.563,1.532,1.801,"Cash Only, Cash Only",Ordinary Share,26.9,0.25,-3.4,9.7,1
16.05.2022,3932494040,Affinity DNA Ltd,Genetic Technologies Ltd,No,No,No,Friendly,No,No,Acq. of Assets,49.91,50.09,0,0,100,100,No,No,No,No,No,No,No,0,0.68,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Australia,AU,United Kingdom,UK,Priv.,Public,0.68,,,,0.211,0.016,0,0,0,0.1,,,0.025,,,,,"Cash, Earnout","Assets, Assets",22.5,4.25,2.1,4.5,0
22.01.2016,2906249040,Malmesbury Med Entrp Ltd,Assura PLC,No,No,No,Friendly,No,No,Acq. of Assets,100,0,0,0,100,100,No,No,No,No,No,No,No,0,0.71,REITs,Healthcare Equipment & Supplies,Real Estate,Healthcare,United Kingdom,UK,United Kingdom,UK,Priv.,Public,0.71,,,,1.118,1.118,0.9,0.9,5.4,14.3,1.367,,5.399,,,,,"Cash Only, Cash Only",Assets,14,0.75,1.6,4.8,0
07.05.2020,3572346020,Tearlab Corp,Accelmed Partners II LP,No,No,No,Friendly,No,No,Merger,0,0,0,100,100,100,No,No,No,No,No,No,No,0,31.423,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,United States,US,United States,US,Public,Sub.,0.741,31.423,0.741,0.06,22.063,0.128,-5.6,-5.6,-27.6,14.1,0.767,-2.2,-27.576,-0.4536,0.13,0.029,0.02,"Cash Only, Cash Only",Common Stock,26.9,0.25,-3.4,9.7,1
08.06.2020,3593586020,Optex Systems Holdings Inc,Optex Systems Holdings Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,1,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,1,14.941,16.361,,24.384,2.815,4.8,5.9,13.5,19.6,3.111,1.6,13.476,0.4688,1.7,1.7,1.85,"Cash Only, Cash Only",Common Stock,26.9,0.25,-3.4,9.7,1
02.11.2023,4183697040,Medcom Tech SA,Santi 1990 SL,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,10.6,27.9,No,No,No,No,No,No,No,0,1.031,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Spain,SP,Spain,SP,Public,Priv.,1.031,28.631,9.868,0.74,29.851,1.331,1,-1.6,0.3,32.8,2.495,0,0.311,-0.1223,0.402,0.359,0.428,Cash Only,Ordinary Share,21.7,5.33,2.9,7.5,0
28.08.2024,4278223040,Organ Eco Tech Co Ltd,Iron Clad Fund,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,10.4,10.4,No,No,No,No,No,No,No,1,1.123,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,1.123,15.154,9.678,0.93,2.468,-3.728,-2.4,-2.4,10.2,20.7,-3.251,1,10.183,-0.3375,0.761,1.155,1.366,"Cash, Cash","Newly Issued Ord Sh, Newly Issued Ord Sh",15.5,4.5,2.8,7,0
16.02.2015,2726396040,Kasios SAS,Midi Capital SAS,Yes,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,,,No,No,No,No,No,No,No,0,1.135,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,France,FR,France,FR,Priv.,Sub.,1.135,,,,7.122,0.011,-0.1,-0.2,2,8.5,0.825,,1.951,,,,,"Cash Only, Cash Only",Stock,16.9,0.25,3.1,5.5,0
14.05.2014,2636769040,Shanghai Ruiyi Pharm Tech Co,Shanghai Chenqian Invest Co,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,9,21.8,No,No,No,No,Yes,No,No,0,1.185,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Sub.,Sub.,1.185,13.987,13.545,,6.038,1.211,1.1,1,7,8.7,1.508,0.4,7.045,0.0507,,,,"Cash Only, Cash Only",Stock,16.6,0.25,2.5,5.5,0
